0, 48898
17025, 99999
17232, 92500
77126, 79569
87800, 95524
50362, 58081
2292, 8952
27904, 76456
33626, 65049
31795, 35609
41369, 52769
40549, 94448
89205, 95153
70998, 84415
60129, 67318
7458, 77914
53113, 64122
13043, 36643
49556, 67958
40441, 92330
71936, 96224
8547, 28778
93567, 93954
91434, 91651
21878, 53560
50668, 66100
58692, 83373
62389, 63771
96440, 99725
47735, 69907
24058, 76835
80034, 95482
83580, 93789
85827, 90541
25576, 44942
54218, 70265
16282, 30303
23632, 36286
95664, 98507
54048, 91038
91202, 93153
4430, 58027
97903, 99688
34992, 97387
48825, 90613
47747, 99513
81541, 90442
47118, 89423
85868, 97969
84074, 84911
51434, 80294
52267, 82597
47776, 97031
2093, 31752
60511, 79938
1112, 8013
37683, 54251
1873, 13202
61461, 78729
776, 77793
15770, 19500
22657, 46426
5466, 96366
92933, 98222
49515, 57308
71183, 88852
95622, 98503
71791, 77095
90834, 98818
39408, 75500
95776, 97855
63548, 81371
64042, 91387
53143, 92624
84712, 86528
83752, 87745
31464, 54139
79457, 93492
79644, 94689
47309, 59804
26434, 94233
82165, 96311
80215, 99621
7218, 93514
98797, 99123
2775, 85563
4213, 27325
80135, 89726
50844, 83045
42748, 61737
13428, 46395
35169, 65703
88112, 98534
9957, 51689
20370, 87263
13190, 52810
91405, 96607
11707, 71179
19862, 68429
93688, 95883
51784, 95230
38471, 41820
74460, 92943
40560, 43828
2138, 48423
7019, 69683
78544, 85342
6200, 10935
25277, 95701
38366, 91255
68844, 93209
24083, 84464
52746, 71144
19135, 42217
43042, 78379
38880, 42261
89728, 93709
15737, 60481
42724, 53909
72813, 89945
47202, 73310
27542, 62149
64681, 65982
81552, 94400
9845, 64774
39598, 72019
79999, 90097
24659, 32080
44769, 67168
31394, 94799
17214, 90221
63818, 97410
44060, 51979
69005, 74761
32871, 71052
52560, 53714
66372, 98459
40651, 94985
5972, 73904
91944, 95320
59565, 72609
63818, 87754
41086, 91409
41338, 51170
53965, 54222
66208, 91055
48036, 68641
15397, 45861
67476, 79833
71198, 80404
23464, 70841
71058, 91003
75190, 79120
8788, 52469
75960, 83450
17787, 97239
20726, 95246
47500, 80236
87523, 89165
25378, 58369
28022, 32480
20304, 50907
1233, 15660
32616, 67778
30961, 73010
11699, 75201
4985, 38887
96843, 98331
84548, 85730
99711, 99968
89031, 99211
34501, 37907
63911, 84897
71505, 86314
22210, 91305
35143, 56328
90748, 91125
25858, 69291
30851, 96006
65160, 65534
42465, 98104
520, 74042
83850, 92025
17360, 74552
1441, 90758
40643, 52970
8044, 26884
52921, 98872
14176, 89509
31855, 65791
82328, 83123
35981, 38943
65612, 89975
10710, 41683
90442, 95563
72079, 86352
88037, 94419
74472, 90424
28051, 89879
